time(s),reference current(A),current(A),rw angle(rad),pendulum angle(rad),xa,ya,xb,yb
2.70785, 1.431, 1.698, 367.1736, -3.9025, -0.1248, -0.7566, -0.3978, -0.7488
2.70981, 1.354, 1.604, 367.1736, -3.9050, -0.1248, -0.7098, -0.3978, -0.7098
2.71180, 1.275, 1.517, 367.3045, -3.9075, -0.1404, -0.7488, -0.3978, -0.7410
2.71388, 1.191, 1.440, 367.4355, -3.9094, -0.1482, -0.7098, -0.4056, -0.7332
2.71584, 1.113, 1.346, 367.5663, -3.9113, -0.1638, -0.6942, -0.4134, -0.7254
2.71781, 1.033, 1.271, 367.6972, -3.9132, -0.1092, -0.6864, -0.3744, -0.7410
2.71984, 0.951, 1.177, 367.8281, -3.9151, -0.1404, -0.6864, -0.3900, -0.7488
2.72186, 0.869, 1.128, 367.8281, -3.9169, -0.1092, -0.6864, -0.4134, -0.7488
2.72383, 0.788, 1.037, 367.9590, -3.9182, -0.1404, -0.7332, -0.3822, -0.7176
2.72583, 0.706, 0.946, 368.0899, -3.9195, -0.1560, -0.7020, -0.4212, -0.7332
2.72787, 0.623, 0.870, 368.2208, -3.9207, -0.1404, -0.6864, -0.3900, -0.7020
2.72986, 0.541, 0.780, 368.3517, -3.9220, -0.1248, -0.6942, -0.4290, -0.6942
2.73187, 0.458, 0.717, 368.4826, -3.9226, -0.1326, -0.6942, -0.4134, -0.6942
2.73382, 0.377, 0.634, 368.4826, -3.9238, -0.1404, -0.7176, -0.3978, -0.7254
2.73587, 0.292, 0.541, 368.6135, -3.9245, -0.1326, -0.7098, -0.3900, -0.7176
2.73786, 0.210, 0.465, 368.7444, -3.9251, -0.1248, -0.6942, -0.3822, -0.7176
2.73988, 0.126, 0.379, 368.8753, -3.9251, -0.1092, -0.7020, -0.4056, -0.6942
2.74185, 0.044, 0.306, 369.0062, -3.9257, -0.1170, -0.6942, -0.3900, -0.7254
2.74381, -0.037, 0.213, 369.1371, -3.9257, -0.1092, -0.6942, -0.4134, -0.7020
2.74587, -0.123, 0.139, 369.1371, -3.9257, -0.1092, -0.6864, -0.3900, -0.7254
2.74785, -0.205, 0.054, 369.2680, -3.9257, -0.1014, -0.6864, -0.4056, -0.6942
2.74981, -0.287, -0.028, 369.3989, -3.9257, -0.1014, -0.7020, -0.3900, -0.7176
2.75182, -0.370, -0.114, 369.5298, -3.9251, -0.0936, -0.6864, -0.3900, -0.7254
2.75388, -0.455, -0.191, 369.6607, -3.9245, -0.1092, -0.6942, -0.3822, -0.7254
2.75589, -0.539, -0.264, 369.7916, -3.9238, -0.0702, -0.6864, -0.3744, -0.7410
2.75782, -0.619, -0.373, 369.7916, -3.9232, -0.0936, -0.6942, -0.3900, -0.7098
2.75985, -0.703, -0.459, 369.9225, -3.9220, -0.1014, -0.6942, -0.3900, -0.6942
2.76188, -0.787, -0.531, 370.0534, -3.9213, -0.0936, -0.6864, -0.3900, -0.6864
2.76385, -0.867, -0.603, 370.1843, -3.9201, -0.0702, -0.7254, -0.3744, -0.7254
2.76582, -0.948, -0.665, 370.3152, -3.9182, -0.0702, -0.7020, -0.3510, -0.7332
2.76781, -1.030, -0.790, 370.3152, -3.9169, -0.0624, -0.7254, -0.3900, -0.7488
2.76988, -1.115, -0.876, 370.4461, -3.9151, -0.0858, -0.7488, -0.3744, -0.7410
2.77187, -1.195, -0.950, 370.5770, -3.9132, -0.0468, -0.6942, -0.3744, -0.7332
2.77381, -1.274, -1.021, 370.7079, -3.9113, -0.0702, -0.7332, -0.3588, -0.7176
2.77584, -1.356, -1.079, 370.8388, -3.9094, -0.0702, -0.7488, -0.3900, -0.7332
2.77786, -1.437, -1.201, 370.8388, -3.9069, -0.0936, -0.7176, -0.3588, -0.7098
2.77981, -1.515, -1.288, 370.9697, -3.9044, -0.0624, -0.7566, -0.3744, -0.7488
2.78185, -1.597, -1.361, 371.1006, -3.9019, -0.0390, -0.7020, -0.3588, -0.7332
2.78381, -1.674, -1.438, 371.2315, -3.8993, -0.0312, -0.7488, -0.3354, -0.7566
2.78589, -1.756, -1.461, 371.3624, -3.8962, 0.0000, -0.7254, -0.3510, -0.7566
2.78785, -1.833, -1.609, 371.3624, -3.8931, -0.0312, -0.7488, -0.3510, -0.7566
2.78987, -1.912, -1.684, 371.4933, -3.8899, -0.0390, -0.7878, -0.3432, -0.7644
2.79187, -1.989, -1.752, 371.6242, -3.8868, -0.0234, -0.7410, -0.3744, -0.7254
2.79385, -2.065, -1.780, 371.7551, -3.8830, -0.0624, -0.8112, -0.3510, -0.7488
2.79587, -2.142, -1.921, 371.7551, -3.8799, -0.0312, -0.7566, -0.3510, -0.7488
2.79786, -2.218, -2.013, 371.8860, -3.8755, -0.0312, -0.8190, -0.3354, -0.7878
2.79989, -2.294, -2.084, 372.0169, -3.8717, -0.0156, -0.7878, -0.3198, -0.7956
2.80186, -2.367, -2.105, 372.1478, -3.8679, -0.0468, -0.8424, -0.3120, -0.8112
2.80387, -2.441, -2.231, 372.2787, -3.8635, -0.0234, -0.8112, -0.3198, -0.8034
2.80582, -2.513, -2.285, 372.2787, -3.8591, 0.0000, -0.8268, -0.3276, -0.7800
2.80783, -2.586, -2.378, 372.4096, -3.8547, -0.0312, -0.8502, -0.3510, -0.7956
2.80986, -2.658, -2.415, 372.5405, -3.8497, 0.0000, -0.8502, -0.3276, -0.8034
2.81184, -2.729, -2.487, 372.6714, -3.8453, -0.0234, -0.8424, -0.3120, -0.8034
2.81383, -2.799, -2.605, 372.6714, -3.8403, 0.0000, -0.8346, -0.3198, -0.8112
2.81587, -2.870, -2.672, 372.8023, -3.8353, -0.0156, -0.8658, -0.2964, -0.8190
2.81783, -2.937, -2.698, 372.9332, -3.8296, -0.0234, -0.8892, -0.2886, -0.8580
2.81980, -3.004, -2.808, 372.9332, -3.8246, 0.0000, -0.8814, -0.2964, -0.8502
2.82184, -3.073, -2.880, 373.0641, -3.8189, 0.0000, -0.9204, -0.2886, -0.8658
2.82387, -3.140, -2.939, 373.1950, -3.8133, 0.0000, -0.9204, -0.2808, -0.9048
2.82583, -3.204, -2.924, 373.3259, -3.8070, -0.0468, -0.9672, -0.2964, -0.8502
2.82785, -3.269, -3.098, 373.3259, -3.8013, -0.0390, -0.9204, -0.2886, -0.8658
2.82987, -3.334, -3.155, 373.4568, -3.7950, -0.0468, -0.9594, -0.2808, -0.8658
2.83187, -3.396, -3.195, 373.5877, -3.7888, -0.0156, -0.9594, -0.3042, -0.8970
2.83386, -3.458, -3.166, 373.7186, -3.7825, 0.0000, -0.9516, -0.2808, -0.9204
2.83584, -3.518, -3.361, 373.7186, -3.7762, 0.0000, -0.9984, -0.2730, -0.9204
2.83784, -3.578, -3.383, 373.8495, -3.7693, -0.0078, -1.0296, -0.2652, -0.9126
2.83986, -3.637, -3.373, 373.9804, -3.7624, 0.0156, -0.9984, -0.2652, -0.9048
2.84183, -3.694, -3.544, 373.9804, -3.7561, 0.0000, -1.0296, -0.2730, -0.9048
2.84378, -3.750, -3.586, 374.1113, -3.7485, 0.0234, -0.9750, -0.2496, -0.9204
2.84582, -3.806, -3.550, 374.2422, -3.7416, 0.0000, -0.9984, -0.2808, -0.9438
2.84781, -3.861, -3.715, 374.2422, -3.7341, -0.0468, -1.0374, -0.2652, -0.9438
2.84981, -3.914, -3.773, 374.3731, -3.7266, 0.0000, -1.0608, -0.2418, -0.9672
2.85184, -3.967, -3.710, 374.5040, -3.7190, -0.0312, -1.0764, -0.2496, -0.9750
2.85385, -4.019, -3.879, 374.5040, -3.7115, 0.0000, -1.0842, -0.2496, -0.9828
2.85585, -4.069, -3.930, 374.6349, -3.7033, -0.0312, -1.1232, -0.2262, -0.9906
2.85789, -4.119, -3.876, 374.7658, -3.6951, 0.0234, -1.0764, -0.2574, -0.9906
2.85986, -4.166, -4.042, 374.7658, -3.6876, 0.0000, -1.1154, -0.2496, -0.9984
2.86185, -4.212, -4.068, 374.8967, -3.6794, 0.0000, -1.1232, -0.2262, -0.9984
2.86381, -4.257, -4.031, 375.0276, -3.6706, 0.0000, -1.1544, -0.2340, -1.0062
2.86588, -4.303, -4.190, 375.0276, -3.6625, 0.0156, -1.1934, -0.2184, -1.0218
2.86785, -4.345, -4.206, 375.1585, -3.6537, 0.0312, -1.1622, -0.1950, -1.0530
2.86982, -4.386, -4.274, 375.1585, -3.6449, 0.0078, -1.2012, -0.1794, -1.0530
2.87182, -4.426, -4.324, 375.2894, -3.6361, -0.0312, -1.2324, -0.1950, -1.0608
2.87382, -4.466, -4.325, 375.4203, -3.6273, 0.0000, -1.2168, -0.2184, -1.0452
2.87582, -4.503, -4.392, 375.4203, -3.6185, 0.0234, -1.2168, -0.2106, -1.0452
2.87785, -4.540, -4.444, 375.5512, -3.6091, 0.0156, -1.2168, -0.2028, -1.0374
2.87984, -4.575, -4.489, 375.5512, -3.5996, 0.0234, -1.2792, -0.1716, -1.0842
2.88184, -4.609, -4.522, 375.6821, -3.5908, 0.0390, -1.3026, -0.1716, -1.0998
2.88383, -4.642, -4.485, 375.8130, -3.5808, 0.0078, -1.3260, -0.1560, -1.0920
2.88588, -4.674, -4.590, 375.8130, -3.5714, 0.0390, -1.3026, -0.1404, -1.0920
2.88783, -4.703, -4.614, 375.9439, -3.5613, 0.0078, -1.3260, -0.1560, -1.1076
2.88986, -4.732, -4.670, 375.9439, -3.5519, 0.0546, -1.3260, -0.1404, -1.1154
2.89182, -4.758, -4.665, 376.0748, -3.5418, 0.0000, -1.3650, -0.1326, -1.1154
2.89378, -4.783, -4.722, 376.2057, -3.5318, 0.0234, -1.3416, -0.1404, -1.1154
2.89586, -4.809, -4.715, 376.2057, -3.5217, 0.0546, -1.4040, -0.1326, -1.2324
2.89781, -4.831, -4.708, 376.3366, -3.5117, 0.0312, -1.4040, -0.1248, -1.1622
2.89981, -4.852, -4.814, 376.3366, -3.5016, 0.0390, -1.3650, -0.0936, -1.1778
2.90180, -4.872, -4.765, 376.4675, -3.4909, 0.0702, -1.4040, -0.0780, -1.1856
2.90382, -4.891, -4.894, 376.4675, -3.4803, 0.0468, -1.4742, -0.1170, -1.1856
2.90582, -4.908, -4.812, 376.5984, -3.4702, 0.0546, -1.3416, -0.0780, -1.1934
2.90780, -4.924, -4.932, 376.5984, -3.4595, 0.0468, -1.4820, -0.0936, -1.1700
2.90980, -4.938, -4.876, 376.7293, -3.4482, 0.0702, -1.3806, -0.0936, -1.1934
2.91182, -4.951, -4.939, 376.7293, -3.4375, 0.0078, -1.4742, -0.0936, -1.2090
2.91382, -4.962, -4.932, 376.8602, -3.4268, 0.0858, -1.4118, -0.0702, -1.2090
2.91581, -4.972, -4.942, 376.8602, -3.4155, 0.0468, -1.4820, -0.0546, -1.2246
2.91787, -4.981, -4.963, 376.9911, -3.4042, 0.0234, -1.5132, -0.0624, -1.2402
2.91986, -4.988, -4.956, 376.9911, -3.3929, 0.0546, -1.5132, -0.0390, -1.2402
2.92183, -4.993, -4.993, 377.1220, -3.3822, 0.0078, -1.5054, -0.0312, -1.2324
2.92385, -4.997, -5.015, 377.1220, -3.3703, 0.0624, -1.4586, -0.0390, -1.2324
2.92588, -4.999, -4.972, 377.2529, -3.3590, 0.0468, -1.5132, -0.0312, -1.2480
2.92785, -5.000, -5.041, 377.2529, -3.3477, 0.0858, -1.5054, -0.0234, -1.2402
2.92986, -4.999, -4.963, 377.3838, -3.3357, 0.0780, -1.5210, -0.0234, -1.2480
2.93185, -4.997, -5.040, 377.3838, -3.3244, 0.0702, -1.5600, -0.0156, -1.2558
2.93383, -4.994, -4.971, 377.5147, -3.3125, 0.0546, -1.5756, 0.0000, -1.2792
2.93589, -4.988, -5.020, 377.5147, -3.3006, 0.0936, -1.5912, 0.0156, -1.2948
2.93786, -4.982, -4.922, 377.6456, -3.2892, 0.0546, -1.5834, 0.0078, -1.2714
2.93986, -4.974, -5.004, 377.6456, -3.2773, 0.0936, -1.5600, 0.0000, -1.2792
2.94181, -4.964, -4.992, 377.7765, -3.2654, 0.0546, -1.6302, 0.0000, -1.2870
2.94387, -4.953, -4.982, 377.7765, -3.2534, 0.0546, -1.5912, 0.0156, -1.2948
2.94585, -4.940, -4.978, 377.7765, -3.2415, 0.0624, -1.5834, 0.0156, -1.2792
2.94787, -4.926, -4.970, 377.9074, -3.2296, 0.0858, -1.6146, 0.0468, -1.3026
2.94982, -4.911, -4.973, 377.9074, -3.2170, 0.0780, -1.6380, 0.0624, -1.2792
2.95188, -4.893, -4.854, 378.0383, -3.2051, 0.0702, -1.6536, 0.0624, -1.2870
2.95388, -4.874, -4.947, 378.0383, -3.1931, 0.1092, -1.6224, 0.0780, -1.2948
2.95581, -4.855, -4.922, 378.0383, -3.1805, 0.0702, -1.6458, 0.0624, -1.3104
2.95783, -4.833, -4.888, 378.1692, -3.1686, 0.1170, -1.5912, 0.0858, -1.3182
2.95982, -4.810, -4.893, 378.1692, -3.1560, 0.0624, -1.6770, 0.0858, -1.3182
2.96183, -4.786, -4.805, 378.3001, -3.1441, 0.0468, -1.6614, 0.0858, -1.2948
2.96384, -4.759, -4.854, 378.3001, -3.1322, 0.0624, -1.6380, 0.1092, -1.3026
2.96586, -4.732, -4.825, 378.3001, -3.1196, 0.0468, -1.7004, 0.1014, -1.2948
2.96786, -4.703, -4.783, 378.4310, -3.1070, 0.0702, -1.6224, 0.1248, -1.3260
2.96984, -4.673, -4.781, 378.4310, -3.0945, 0.0936, -1.6926, 0.1248, -1.2870
2.97189, -4.640, -4.742, 378.4310, -3.0825, 0.0624, -1.6536, 0.1326, -1.3182
2.97385, -4.607, -4.694, 378.5619, -3.0700, 0.1014, -1.6848, 0.1638, -1.3260
2.97583, -4.573, -4.688, 378.5619, -3.0574, 0.0780, -1.6692, 0.1326, -1.3104
2.97787, -4.536, -4.524, 378.6928, -3.0448, 0.1092, -1.6302, 0.1326, -1.3494
2.97987, -4.499, -4.632, 378.6928, -3.0329, 0.0858, -1.6458, 0.1560, -1.3104
2.98181, -4.461, -4.598, 378.6928, -3.0203, 0.0780, -1.6458, 0.1560, -1.2870
2.98383, -4.420, -4.407, 378.8237, -3.0078, 0.0858, -1.6302, 0.1560, -1.2948
2.98581, -4.379, -4.522, 378.8237, -2.9952, 0.0468, -1.6692, 0.1638, -1.3104
2.98782, -4.336, -4.469, 378.8237, -2.9826, 0.0780, -1.6692, 0.1638, -1.3104
2.98989, -4.290, -4.367, 378.9546, -2.9707, 0.0936, -1.6302, 0.2184, -1.3104
2.99183, -4.245, -4.390, 378.9546, -2.9575, 0.0702, -1.6848, 0.1950, -1.3104
2.99388, -4.197, -4.354, 378.9546, -2.9456, 0.0780, -1.6380, 0.1872, -1.2792
2.99584, -4.150, -4.279, 379.0855, -2.9330, 0.0936, -1.6068, 0.2340, -1.2948
2.99788, -4.099, -4.257, 379.0855, -2.9204, 0.0780, -1.6302, 0.2340, -1.2792
2.99985, -4.049, -4.224, 379.0855, -2.9085, 0.0546, -1.5756, 0.2262, -1.2636
3.00186, -3.997, -4.142, 379.0855, -2.8959, 0.0936, -1.7004, 0.2340, -1.2636
3.00386, -3.943, -4.102, 379.2164, -2.8834, 0.1092, -1.6224, 0.2496, -1.2792
3.00586, -3.888, -4.070, 379.2164, -2.8714, 0.1014, -1.5990, 0.1716, -1.2480
3.00781, -3.834, -3.994, 379.2164, -2.8588, 0.0624, -1.6302, 0.2496, -1.2948
3.00984, -3.776, -3.893, 379.3473, -2.8469, 0.0858, -1.5834, 0.2496, -1.2480
3.01186, -3.717, -3.889, 379.3473, -2.8343, 0.0546, -1.6146, 0.2340, -1.2324
3.01390, -3.656, -3.843, 379.3473, -2.8224, 0.0468, -1.5834, 0.2496, -1.2246
3.01585, -3.597, -3.771, 379.3473, -2.8098, 0.0780, -1.5522, 0.2964, -1.2324
3.01788, -3.534, -3.722, 379.4782, -2.7985, 0.0780, -1.5912, 0.2730, -1.2324
3.01982, -3.473, -3.692, 379.4782, -2.7860, 0.0780, -1.5132, 0.2808, -1.2246
3.02186, -3.407, -3.594, 379.4782, -2.7747, 0.0702, -1.5756, 0.2808, -1.2480
3.02382, -3.343, -3.456, 379.6091, -2.7627, 0.0936, -1.5522, 0.2808, -1.2168
3.02583, -3.277, -3.491, 379.6091, -2.7508, 0.1092, -1.5132, 0.2886, -1.1934
3.02786, -3.208, -3.407, 379.6091, -2.7388, 0.1014, -1.5054, 0.2808, -1.1934
3.02987, -3.140, -3.357, 379.6091, -2.7269, 0.1014, -1.4820, 0.2964, -1.1778
3.03184, -3.071, -3.177, 379.7400, -2.7150, 0.1170, -1.4664, 0.2808, -1.1388
3.03390, -2.999, -3.228, 379.7400, -2.7043, 0.0468, -1.4742, 0.2808, -1.1154
3.03582, -2.930, -3.151, 379.7400, -2.6923, 0.0624, -1.4508, 0.3198, -1.1466
3.03786, -2.857, -3.069, 379.7400, -2.6810, 0.0624, -1.4430, 0.3666, -1.1700
3.03983, -2.784, -2.970, 379.8709, -2.6691, 0.0468, -1.4664, 0.3198, -1.1388
3.04189, -2.708, -2.939, 379.8709, -2.6584, 0.0624, -1.4196, 0.3198, -1.1310
3.04386, -2.634, -2.873, 379.8709, -2.6471, 0.0780, -1.4430, 0.3432, -1.1388
3.04583, -2.559, -2.784, 379.8709, -2.6358, 0.0936, -1.4040, 0.3666, -1.1076
3.04789, -2.480, -2.682, 380.0018, -2.6251, 0.1014, -1.4118, 0.3354, -1.0998
3.04981, -2.406, -2.657, 380.0018, -2.6138, 0.0936, -1.3806, 0.3198, -1.0608
3.05187, -2.325, -2.563, 380.0018, -2.6031, 0.0858, -1.3260, 0.3354, -1.0452
3.05383, -2.247, -2.492, 380.0018, -2.5918, 0.0702, -1.3338, 0.3510, -1.0374
3.05589, -2.165, -2.395, 380.1327, -2.5818, 0.0624, -1.2948, 0.3120, -1.0140
3.05784, -2.087, -2.329, 380.1327, -2.5711, 0.0702, -1.3104, 0.3354, -1.0530
3.05983, -2.006, -2.260, 380.1327, -2.5604, 0.0624, -1.2792, 0.3666, -1.0608
3.06187, -1.922, -2.158, 380.1327, -2.5497, 0.0624, -1.2792, 0.3666, -1.0374
3.06390, -1.839, -2.091, 380.1327, -2.5397, 0.0780, -1.2558, 0.3744, -1.0062
3.06587, -1.757, -2.009, 380.2636, -2.5296, 0.0858, -1.2480, 0.3900, -1.0062
3.06787, -1.673, -1.944, 380.2636, -2.5196, 0.0858, -1.2480, 0.3900, -0.9594
3.06983, -1.590, -1.846, 380.2636, -2.5095, 0.0780, -1.2480, 0.3978, -0.9516
3.07188, -1.503, -1.755, 380.2636, -2.4995, 0.0780, -1.1934, 0.3978, -0.9672
3.07388, -1.418, -1.646, 380.3945, -2.4900, 0.0546, -1.1934, 0.3510, -0.9672
3.07589, -1.331, -1.593, 380.3945, -2.4800, 0.0702, -1.1544, 0.3510, -0.9672
3.07789, -1.245, -1.517, 380.3945, -2.4712, 0.0546, -1.1154, 0.3822, -0.9594
3.07983, -1.161, -1.422, 380.3945, -2.4618, 0.0468, -1.1232, 0.4056, -0.9048
3.08183, -1.073, -1.325, 380.3945, -2.4517, 0.0156, -1.0998, 0.3900, -0.8892
3.08389, -0.983, -1.253, 380.5254, -2.4429, 0.0546, -1.0920, 0.4056, -0.8970
3.08586, -0.896, -1.163, 380.5254, -2.4335, 0.0624, -1.0608, 0.4056, -0.8814
3.08791, -0.806, -1.080, 380.5254, -2.4253, 0.0702, -1.1076, 0.4368, -0.8892
3.08982, -0.721, -0.983, 380.5254, -2.4159, 0.0780, -1.0764, 0.3978, -0.8970
3.09190, -0.629, -0.888, 380.6563, -2.4077, 0.0702, -1.0920, 0.3822, -0.8580
3.09385, -0.542, -0.827, 380.6563, -2.3989, 0.0780, -1.0452, 0.4056, -0.8580
3.09588, -0.451, -0.735, 380.6563, -2.3908, 0.0546, -0.9984, 0.3978, -0.8112
3.09789, -0.362, -0.643, 380.6563, -2.3826, 0.0546, -0.9750, 0.3978, -0.8034
3.09987, -0.273, -0.541, 380.6563, -2.3744, 0.0390, -0.9828, 0.4212, -0.8268
3.10185, -0.184, -0.455, 380.7872, -2.3662, 0.0156, -0.9516, 0.4368, -0.8034
3.10388, -0.093, -0.375, 380.7872, -2.3587, 0.0234, -0.9282, 0.4290, -0.8034
3.10587, -0.003, -0.277, 380.7872, -2.3512, 0.0390, -0.8970, 0.4056, -0.8268
3.10789, 0.088, -0.193, 380.7872, -2.3436, 0.0156, -0.9204, 0.4212, -0.7800
3.10984, 0.175, -0.103, 380.9181, -2.3361, 0.0156, -0.8658, 0.4134, -0.7566
3.11184, 0.266, -0.017, 380.9181, -2.3285, 0.0468, -0.8892, 0.4680, -0.7488
3.11389, 0.358, 0.071, 380.9181, -2.3223, 0.0546, -0.8736, 0.4524, -0.7332
3.11584, 0.445, 0.169, 380.9181, -2.3154, 0.0390, -0.8658, 0.4368, -0.7254
3.11784, 0.535, 0.255, 381.0490, -2.3078, 0.0546, -0.8424, 0.4212, -0.7176
3.11989, 0.627, 0.353, 381.0490, -2.3015, 0.0468, -0.8346, 0.4212, -0.7254
3.12192, 0.717, 0.435, 381.0490, -2.2952, 0.0546, -0.8190, 0.4368, -0.7254
3.12386, 0.804, 0.532, 381.0490, -2.2890, 0.0312, -0.7956, 0.4290, -0.7176
3.12588, 0.894, 0.628, 381.0490, -2.2827, 0.0156, -0.7722, 0.4134, -0.7176
3.12785, 0.982, 0.713, 381.1799, -2.2764, 0.0390, -0.7566, 0.4212, -0.6630
3.12989, 1.071, 0.801, 381.1799, -2.2707, 0.0234, -0.7488, 0.4446, -0.6552
3.13184, 1.158, 0.895, 381.1799, -2.2651, 0.0000, -0.7410, 0.4290, -0.6240
3.13390, 1.248, 0.984, 381.3108, -2.2594, 0.0078, -0.7254, 0.4290, -0.6474
3.13591, 1.336, 1.064, 381.3108, -2.2544, 0.0000, -0.7254, 0.4368, -0.6552
3.13780, 1.418, 1.151, 381.3108, -2.2488, 0.0234, -0.7488, 0.4212, -0.6552
3.13989, 1.509, 1.251, 381.3108, -2.2437, 0.0312, -0.6942, 0.4368, -0.6396
3.14187, 1.594, 1.280, 381.4417, -2.2393, 0.0390, -0.6942, 0.4446, -0.6240
3.14390, 1.681, 1.424, 381.4417, -2.2343, 0.0234, -0.6864, 0.4368, -0.6006
3.14585, 1.764, 1.508, 381.4417, -2.2299, 0.0312, -0.6396, 0.4368, -0.6006
3.14785, 1.848, 1.600, 381.4417, -2.2255, 0.0156, -0.6474, 0.4368, -0.5616
3.14989, 1.934, 1.640, 381.5726, -2.2211, 0.0312, -0.6318, 0.4290, -0.5772
3.15188, 2.017, 1.767, 381.5726, -2.2173, 0.0000, -0.6318, 0.4368, -0.5928
3.15385, 2.099, 1.846, 381.5726, -2.2136, 0.0000, -0.6084, 0.4368, -0.5772
3.15583, 2.180, 1.936, 381.5726, -2.2098, -0.0312, -0.6240, 0.4368, -0.5850
3.15783, 2.262, 2.008, 381.7035, -2.2067, 0.0000, -0.6630, 0.4134, -0.5772
3.15982, 2.342, 2.103, 381.7035, -2.2029, 0.0000, -0.5772, 0.4602, -0.5616
3.16184, 2.423, 2.180, 381.7035, -2.1997, 0.0000, -0.6162, 0.4446, -0.5382
3.16382, 2.501, 2.233, 381.8344, -2.1972, 0.0000, -0.5772, 0.4368, -0.5304
3.16585, 2.581, 2.347, 381.8344, -2.1941, 0.0078, -0.5850, 0.4212, -0.5226
3.16784, 2.658, 2.429, 381.8344, -2.1916, 0.0000, -0.5616, 0.4212, -0.5382
3.16985, 2.735, 2.509, 381.8344, -2.1891, 0.0000, -0.5772, 0.4524, -0.5460
3.17180, 2.809, 2.570, 381.9653, -2.1872, 0.0000, -0.5382, 0.4212, -0.5616
3.17385, 2.886, 2.668, 381.9653, -2.1847, -0.0234, -0.5382, 0.4056, -0.5304
3.17589, 2.962, 2.739, 381.9653, -2.1828, 0.0000, -0.5538, 0.4134, -0.5382
3.17788, 3.034, 2.800, 382.0962, -2.1815, -0.0312, -0.5148, 0.4056, -0.5148
3.17988, 3.106, 2.884, 382.0962, -2.1796, 0.0078, -0.5148, 0.4290, -0.4992
3.18183, 3.176, 2.958, 382.0962, -2.1784, -0.0234, -0.5382, 0.4602, -0.5304
3.18387, 3.247, 3.011, 382.2271, -2.1771, -0.0156, -0.5304, 0.4524, -0.4992
3.18586, 3.316, 3.117, 382.2271, -2.1765, 0.0000, -0.5382, 0.4368, -0.5616
3.18787, 3.384, 3.186, 382.2271, -2.1759, 0.0000, -0.5538, 0.4212, -0.5304
3.18981, 3.449, 3.239, 382.3580, -2.1752, 0.0000, -0.5304, 0.4446, -0.5304
3.19188, 3.517, 3.319, 382.3580, -2.1746, -0.0234, -0.5382, 0.4212, -0.5148
3.19384, 3.580, 3.393, 382.3580, -2.1746, -0.0390, -0.5070, 0.4056, -0.4992
3.19585, 3.644, 3.428, 382.4889, -2.1746, -0.0312, -0.5148, 0.4212, -0.5148
3.19783, 3.705, 3.531, 382.4889, -2.1746, -0.0234, -0.4680, 0.4134, -0.4836
3.19989, 3.768, 3.586, 382.4889, -2.1746, -0.0312, -0.5304, 0.4212, -0.5148
3.20184, 3.826, 3.653, 382.6198, -2.1752, -0.0390, -0.5148, 0.4212, -0.5382
3.20384, 3.884, 3.718, 382.6198, -2.1759, -0.0468, -0.5538, 0.4368, -0.5538
3.20588, 3.943, 3.665, 382.7507, -2.1765, -0.0390, -0.5304, 0.4212, -0.4992
3.20784, 3.998, 3.840, 382.7507, -2.1778, 0.0000, -0.5382, 0.4368, -0.5304
3.20988, 4.053, 3.893, 382.7507, -2.1790, -0.0234, -0.5304, 0.4368, -0.5304
3.21184, 4.105, 3.915, 382.8816, -2.1803, -0.0156, -0.5460, 0.4134, -0.4992
3.21385, 4.157, 4.003, 382.8816, -2.1822, -0.0390, -0.5304, 0.3978, -0.4914
3.21588, 4.208, 4.039, 383.0125, -2.1840, -0.0156, -0.5304, 0.4134, -0.5382
3.21785, 4.257, 4.123, 383.0125, -2.1859, -0.0468, -0.5070, 0.4212, -0.5538
3.21990, 4.306, 4.175, 383.0125, -2.1884, -0.0390, -0.5850, 0.3978, -0.5616
3.22185, 4.351, 4.209, 383.1434, -2.1909, -0.0234, -0.5460, 0.4056, -0.5616
3.22391, 4.397, 4.269, 383.1434, -2.1935, -0.0702, -0.5616, 0.4290, -0.5694
3.22584, 4.438, 4.228, 383.2743, -2.1960, -0.0390, -0.6162, 0.4134, -0.5538
3.22792, 4.482, 4.361, 383.2743, -2.1991, -0.0624, -0.6084, 0.4056, -0.5304
3.22985, 4.520, 4.386, 383.4052, -2.2023, -0.0468, -0.5694, 0.4368, -0.5382
3.23188, 4.560, 4.454, 383.4052, -2.2054, -0.0624, -0.6162, 0.4056, -0.5538
3.23389, 4.597, 4.498, 383.4052, -2.2092, -0.0390, -0.6396, 0.4290, -0.5694
3.23583, 4.631, 4.513, 383.5361, -2.2129, -0.0468, -0.6552, 0.4056, -0.6006
3.23789, 4.666, 4.573, 383.5361, -2.2167, -0.0156, -0.6240, 0.4056, -0.6084
3.23984, 4.698, 4.560, 383.6670, -2.2205, -0.0468, -0.6708, 0.3978, -0.6006
3.24183, 4.729, 4.643, 383.6670, -2.2249, -0.0624, -0.6318, 0.3978, -0.5850
3.24386, 4.758, 4.618, 383.7979, -2.2293, -0.0312, -0.6240, 0.4056, -0.6084
3.24584, 4.786, 4.734, 383.7979, -2.2343, -0.0468, -0.6786, 0.3822, -0.5850
3.24789, 4.812, 4.678, 383.9288, -2.2387, -0.0390, -0.6786, 0.3744, -0.6084
3.24987, 4.836, 4.783, 383.9288, -2.2437, -0.0936, -0.7098, 0.3900, -0.6318
3.25188, 4.859, 4.707, 384.0597, -2.2494, -0.0780, -0.7176, 0.4056, -0.6396
